text,score,title
Another TYT report... Who can believe anything they claim after that NY bike lady story😂😂😂😂😂,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
You are a 🤡,0,Republican ADMITS What Is Behind Killing Border Deal
The young turds are in full panic mode 😂❤,0,Republican ADMITS What Is Behind Killing Border Deal
Great stupid Democraps fuck the US again way to go Traitor's,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Vladimir Putin wants us to fight each other over this.  He's getting his wish thanks to stupidity.  IF you want to fight each other I will sit here and laugh at you on the radio.😆😆😆😆😆😅😄😃,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Dems love the people to be ignorant of how the gov works. The dems don't want the Republican amendment to be voted upon. Dems are obstructing.,0,Republican ADMITS What Is Behind Killing Border Deal
You’re showing everyone what you are. You guys are calling yourself the Left and not Americans.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Texas Has a Right To Protect It's Border From Foriegn Invaders 💪🏻,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This guy should get a new job his voice is grinding and he speaks the same rhetoric and his imitation voices of the politician is nowhere near what they sound like.  Get another job!,0,Republican ADMITS What Is Behind Killing Border Deal
Federal government outlaws weed.  Many states allow it.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
The Supreme Court are COWARDS ! WE ARE SUPPOSED TO SIT AND WAI T FOR THEM TO GET OFF OF THEIR FAT ASS! MOVE ASAP FOR OUR COUNTRY YOU MORONIC IDIOTS!,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Wow this guy is a moron 😂,1,Republican ADMITS What Is Behind Killing Border Deal
No deal just close the border. Dont try to flip the blame. Insane,0,Republican ADMITS What Is Behind Killing Border Deal
Wheelchair CRIMINAL from Texas  got to eat some wires,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
It’s called do your damn job for the people. My god how pathetic these so called grown ups are. 💙🇺🇸,1,Republican ADMITS What Is Behind Killing Border Deal
STFU !!!!!!!! TYT are nothing but ignorant Firestarters !!!!!!!!,1,Republican ADMITS What Is Behind Killing Border Deal
Are you stoned or stupid,1,Republican ADMITS What Is Behind Killing Border Deal
Let’s go TEXAS!!!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"F@ck this, Texas should fight this by any means",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Fuck offff Ben your voice is so sickening,1,Republican ADMITS What Is Behind Killing Border Deal
They are criminals and should be dealt with as such. STATES RIGHTS ALWAYS TRUMP FEDS BULLSHIT,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
These people are traitors to the American people!,0,Republican ADMITS What Is Behind Killing Border Deal
"Sorry,  Young Genocidists,   your comments section shows people aren't buying your BS about the border.",0,Republican ADMITS What Is Behind Killing Border Deal
"Stop crying in denail triggered DERANGED magats! YOU choose TO IGNORE TRUMP'S OWN WORDS when it's CONVINIENT! Instead attack TYT for calling out his selfish motivs. It's true, 1 term loser #45 wants open borders so he can campaign on it! THAT'S YOUR GLORYHOUND DADDY!",0,Republican ADMITS What Is Behind Killing Border Deal
You used the word fix What a moron you are,1,Republican ADMITS What Is Behind Killing Border Deal
Governing?! What a moron you are!,1,Republican ADMITS What Is Behind Killing Border Deal
Isn’t letting them walk in violating law?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
TYT should change name to T&J.,0,Republican ADMITS What Is Behind Killing Border Deal
"I'm cool with Mexicans coming through illegally but no blacks or muslims. In fact, we should be shipping the blacks we have to africa, we can make a jail to africa pipeline",0,Republican ADMITS What Is Behind Killing Border Deal
Ukraine funding and border protection on the same bill says everything you need to know about our government.,0,Republican ADMITS What Is Behind Killing Border Deal
S 744 - This is not the first time Rs have rejected a bi-partisan immigration deal form the Senate. At least this time they're honest about why doing.,0,Republican ADMITS What Is Behind Killing Border Deal
"KISS TRUMP'S @$$  Republicans  in BOTH Houses of Congress need their @$$'$ kicked, HARD!!! They are FINALLY dealing with totally screwed-up, totally obsolete Immigration laws that haven't been dealt with since 1988. Trump is telling them not to and they're listening to him instead of doing their job.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Old boy trying his best to do,  the voice..........id suggest get that tightened up.....and for his ACTUAL purpose of this. Your not that sly.",0,Republican ADMITS What Is Behind Killing Border Deal
Trump and the Republicunts are the only ones trying to do anything to address the boarder. Fuk Ukraine and especially  the Psychopathic Israhell.,1,Republican ADMITS What Is Behind Killing Border Deal
OBIDEN FOR GITMO!!!,0,Republican ADMITS What Is Behind Killing Border Deal
Electoral gold. The campaign ads write themselves. Just show clips of the feds cutting the wire and letting these folks in.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
No one is illegal on stolen land.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Mocking our status...being led down the borderless , voteless , sexless , and moneyless PATHS... DEMS LOVE OUR CHAOS... LOVE OUR VULNERABILITY... LOVE LUR ABORTIONS ...DISEASE..WARS... DUHHHHHH. YOUNG TURDS...DONT CONFUSE YOURSELVES...THE DEMS HAVE MANY TOLLS...THIS CHANNEL IS ONLY ONE OF MANY.",0,Republican ADMITS What Is Behind Killing Border Deal
You guys are beyond ignorant fools. Nobody with a brain that works is listening to a thing you say. Go home and cry or something.,1,Republican ADMITS What Is Behind Killing Border Deal
But cenk is ok with states not following weed laws and letting illegals in,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
I would suggest anyone watching this channel do some research into the Young Turks of the Ottoman Empire and see where this channel gets its historic name from.,0,Republican ADMITS What Is Behind Killing Border Deal
OH PLEASE!   WHAT A BUNCH OF BULLSHIT.,1,Republican ADMITS What Is Behind Killing Border Deal
Stick your hand in fire you get burned. Touch the wire you get cut that simple.. put signage in front of the wire..   not liable for stupidity,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Federal Government and Supreme Courts is letting the Cartels run this country. Unconstitutional! And this dumb man is disgusting.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
( you said it so right 👍!),0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This channel is uniformed so they turn to REPUBLICANS POUNCE stories and trash talk.,0,Republican ADMITS What Is Behind Killing Border Deal
TYT you are full of shit. No one thinks this is a good deal or solves any problem. We all know you are just a mouthpiece for the crazy leftists.,1,Republican ADMITS What Is Behind Killing Border Deal
The Dobbs Decision will make the difference in the election. NH exit polls had immigration at 20% a concern while securing abortion was at 67%,0,Republican ADMITS What Is Behind Killing Border Deal
Not a narrative. Out of the ORANGE HORSES MOUTH. Mitch McConnell bowing to Trumps demands and tossing out border security so he can run on it blaming the dems. EVERYTHING TRUMP SAYS DEMS DO REPUBLICANS ACTUALLY DO UNDER ORANGE JESUS!,0,Republican ADMITS What Is Behind Killing Border Deal
"No deal , Trump says so👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼",0,Republican ADMITS What Is Behind Killing Border Deal
Texas might be the dumbest state in the Union.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This whole board is a joke go home take your happy pills relax drink your magical tea you guys are nuts I'm blocking this crap,1,Republican ADMITS What Is Behind Killing Border Deal
I can't believe the stupid conservative judges voted for this.  Its so common sense that the federal government is not doing their job,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This little guy wishes he was Joseph Goebbels.,0,Republican ADMITS What Is Behind Killing Border Deal
Republicans know any border deal will help the American people and kill Trump politically!,0,Republican ADMITS What Is Behind Killing Border Deal
"This is not the first time the Republicans wanted to stop doing anything because it's an election year. So lets cut off their salary for the year. The Republicans are saying business is closed, well so is our tax dollars.",0,Republican ADMITS What Is Behind Killing Border Deal
Democrats don't always comply with SCOTUS. Sanctuary cities....Marijuana...Etc,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Who the hell are you people Biden started all of this. One hundred thousand people died per year for the past two years that's Biden.eight million invaders from the southern border that's Biden.NOWHE IS CONTEMPLATING INVADEING TEXAS. YOU PEOPLE HAVE LOST YOUR  MINDS.,0,Republican ADMITS What Is Behind Killing Border Deal
TRUMP 47 2024,0,Republican ADMITS What Is Behind Killing Border Deal
Yeah let's be fair and balanced.  if we gotta ding republicans we'll tar Joe as well as catering to the defense industry. Yeah let Putin take over Europe obviously Joe doesn't care about  that. I'm done with you guys.,0,Republican ADMITS What Is Behind Killing Border Deal
Texas...DO NOT COMPLY,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Bunch of stupid ass Democrats that don't know their butt from a hole in the ground,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
They will cut THEMSELVES with razor wire MORON 🤷‍♀️😤,1,Republican ADMITS What Is Behind Killing Border Deal
"ILLEGAL CRIMINALS DESERVE NOTHING...fk your 5k a day, parole, catch and release..oh and fyck Ukraine..they lost",1,Republican ADMITS What Is Behind Killing Border Deal
Maybe try crossing anyone else’s border see what happens.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
SEND THAT OLD 👹 DEMON TURK BACK TO TURKEY 😖😖😖,1,Republican ADMITS What Is Behind Killing Border Deal
Lol this channel,0,Republican ADMITS What Is Behind Killing Border Deal
Trump needs to shut up they need to do there job with the current president .trump is the ex president.trumps cronies need to do their job or resign,0,Republican ADMITS What Is Behind Killing Border Deal
F0ck off scum your just mad because you CAN NOT  be president 😂😅😂😅😂😅,1,Republican ADMITS What Is Behind Killing Border Deal
Why cant NYC and Chicago take any more refugees?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
What they did was murder as they watched a family drown. Similar to officers not rushing into a school to save children!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Texas is right with if the feds don't do their job its the states job and I'm a believer   do your job feds protect the people of this country  not the freakin world .  Dumb ass government,1,Republican ADMITS What Is Behind Killing Border Deal
"Shit accidently got on the stupid people's channel, you idiots are going to cry when TRUMP regains the presidency.....hope you quacks shut the hell up and friggin fade off into the sunset....... friggin stupid people....",1,Republican ADMITS What Is Behind Killing Border Deal
Biden and governing: same as oil and water,0,Republican ADMITS What Is Behind Killing Border Deal
"You obviously arent texan ,anna.      We dont tolerate bullshit",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This audience is too stupid to know the score.  That's ok trump will still lose in November.,1,Republican ADMITS What Is Behind Killing Border Deal
Stop the bullshit and enforce existing laws. Joe Biden is a traitor  He created this He owns it,1,Republican ADMITS What Is Behind Killing Border Deal
"Remove this bozo the clown from the senate because he is a waste of time and money and space, Josh Hawley is worthless and his head is so far up Trump rear end his mouth wash smells like Trump, get this clown out now.",1,Republican ADMITS What Is Behind Killing Border Deal
"Only gullible and naive idiots think that Abbott is doing this because he cares so much about the safety and security of Texans. It's theatrical fear mongering of Mexicans, which is the only way to get people to vote him in power.",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
The closed park in question is where a family drowned because Texas prohibited CBP to save them. Mexican officials requested assistance for a life and death emergency. Full stop.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
They haven't even released the text of the bill to be read to find out exactly what's in it!! So how the freak would you know to be reporting what's in the bill!?  TYT are a bunch of MORONS,1,Republican ADMITS What Is Behind Killing Border Deal
Great job guys and girls. 😂,0,Republican ADMITS What Is Behind Killing Border Deal
"Whatever you have to do Mr. Abott, to keep these illgls OUT, since the idiot in chief refuses to do his damn job. Also, Trump won in New Hampshire! 🎉🎉🎉",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
TYT is for open borders and child trafficking.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
You ppl are anti-Americans! This idiot tryin to sound like Trump is an imbecile to say the least!,1,Republican ADMITS What Is Behind Killing Border Deal
YOU REPUBLICANS HAD A GREAT DEAL TO FIX THIS WOULDNT TAKE BECAUSE YOUR MASTER TOLD U NOT TOO REPUBLICANS RATHER KISS TRUMP ASS THEN DO SOMETHING TO FIX IT DAMM SHAME GET ON FOX NEWS AND TELL LIES TO THE PEOPLE YOU ARE A DISGRACE TO THIS COUNTRY,1,Republican ADMITS What Is Behind Killing Border Deal
The Feds pay PBR big bucks to advertise and recruit the Border Patrol,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"people , this issue is about the border,  Keep it safe , no Illegals,!!  (NONE )",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
These commentators are idiots.,1,Republican ADMITS What Is Behind Killing Border Deal
"Never hire a progressive, they are lazy and unreliable.  All they do is complain about is pronouns and oligarchs.  Hire an illegal instead, they work twice as hard for half as much. And are grateful to be employed.  ONLY FOOLS BELIEVE TYT",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
I just came here to call you an idiot cenk. How's your presidential campaign going degenerate?,1,Republican ADMITS What Is Behind Killing Border Deal
Fools fools fools fools fools.  Dumb idiotic,1,Republican ADMITS What Is Behind Killing Border Deal
I’m convinced people only hate watch the Turks nowadays,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
As long as it's not cruel let them have it.,0,Republican ADMITS What Is Behind Killing Border Deal
"Laura Ingraham. You look white, but you are brown. Because You came out of an anus. No disrespect to brown Americans. They’re more respectable than you Laura. They make an honest living, you suck up peoples time with your rhetoric you fool",1,Republican ADMITS What Is Behind Killing Border Deal
"Y'all are some really dumb people, and you are completely lying.",1,Republican ADMITS What Is Behind Killing Border Deal
"I'm so sick of you, who live in your  Ivory Towers, discuss issues that put actual USA CiTiZeNS, little babies & kids, so we can take care of every single illegal instead of ACTuaL USA CiTiZeNS!!!",0,Republican ADMITS What Is Behind Killing Border Deal
You such an idiot,1,Republican ADMITS What Is Behind Killing Border Deal
Who's this idiot with the fake impersonation?,1,Republican ADMITS What Is Behind Killing Border Deal
How the fuck do you pieces of shit sleep at night,1,Republican ADMITS What Is Behind Killing Border Deal
Texas hopefully won't listen.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
You where again wrong when you said that the surpreme court is right wing and will judge in favor.. And now -wrong again...,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Keep that wire make Biden remove it,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
The voice.... was quite stupid.,1,Republican ADMITS What Is Behind Killing Border Deal
You notice these Turk fu-ks wont talk what's actually in this open border bill. Texas doesn't need a useless bill to defend it's border    Fu-k the Supreme Court and Democrats and especially Joey Biden,1,Republican ADMITS What Is Behind Killing Border Deal
You guys are nothing but propaganda. Cheer pick things to try and make it look one way. Cant wait tell they reverse the law Obama put out that makes media tell the truth,0,Republican ADMITS What Is Behind Killing Border Deal
This is exactly why no one would vote for this guy for anything. He has no idea what he’s talking about. Has no knowledge of the constitution. He sounds so uneducated. Room temp IQ moron,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Hawley is the worst of the long line of american men whose mommies srill wipe theyre asses for them. We all saw you run like the little sniveling bitch that  yoy are.,1,Republican ADMITS What Is Behind Killing Border Deal
What went wrong in sanctuary cities? Where is all that prosperity?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Why do you fools want this boarder wide open. You are to blame for the bad things happening you will be held responsible. You don't represent  WE the People not in any way. You are tyrantical..,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Yea Republicans are ready to go to war with Biden to save this nation but sure they are keeping the border wide open you gotta be braindead to believe that obvious propaganda,0,Republican ADMITS What Is Behind Killing Border Deal
I’m liking this new Ana,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"I was trying to be open minded and see the other side’s perspective, but could not bear to watch any further. What kind of bullshit propaganda shit show are you running?!?",1,Republican ADMITS What Is Behind Killing Border Deal
Stupid Cenk all Joe Biden has got to do is enforce the laws that he already has but he chooses not to enforce them,1,Republican ADMITS What Is Behind Killing Border Deal
This is the dumbest channel I’ve ever seen.,1,Republican ADMITS What Is Behind Killing Border Deal
Just say No.  ❤❤❤,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
There are ALREADY laws on the books.    The problem is failure to enforce the current laws.,0,Republican ADMITS What Is Behind Killing Border Deal
Screw off Ben. Get your genocidal apologist ass off the network,1,Republican ADMITS What Is Behind Killing Border Deal
Anna smoking pot again,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Remove all insecurectionist from government fuck trump 17senetors 34house members jenny thomas mark medows bill bar Kevin Mccarthy Mega mike All inserectionist.,1,Republican ADMITS What Is Behind Killing Border Deal
It still allows 5000 migrants to be processed a day not deported or stopped. ICE is no longer allowed to enforce the law. Instead they just abuse the “parole” process and just override background checks and catch them release on the population of citizens.,0,Republican ADMITS What Is Behind Killing Border Deal
Who's this moron?,1,Republican ADMITS What Is Behind Killing Border Deal
All Bullshit. Finish the dam wall.,1,Republican ADMITS What Is Behind Killing Border Deal
Hi TYT   We have ourselves. Israel  gaza.   Borderline.  As well.  ❤ ANA.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Our courts are sooooooo corrupt!!!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"Play stupid games, win stupid prizes",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Leave it up the border is out of control,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
These mofos just keeps blaming and pointing fingers and not taking ownership. Stop complicating things and confusing for people just do your damn job!,1,Republican ADMITS What Is Behind Killing Border Deal
Trash ass mf country wake up and be ready protect you and your family by any means necessary,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
And all their crops rotted and food prices went up,0,Republican ADMITS What Is Behind Killing Border Deal
Are you this stupid in reality or just when you speak?,1,Republican ADMITS What Is Behind Killing Border Deal
"just because immigration is broken does not mean you can have unlimited uncheck illegal immigration, then flood States and large cities with millions of unvetted illegals, Young Turks are idiots",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
This 100% proves the world is suffering from overpopulation of leftists. The ideal number is zero. That's just common fact.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Close the F--king border idiots !,1,Republican ADMITS What Is Behind Killing Border Deal
"( thou shall not kill or hurt people, which is again the law !)",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Hahahaha trumps own selected scotus bitch slapping republicans!🤣🤣🤣🤣,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
I wonder how many Christian pro lifers are upset with this ruling. Bunch of nasty hateful morons.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
IM A TEXAN AND THE FEDERAL GOVERNMENT NEEDS TO PAY TEXAS ALL THE MONEY OUR TAX DOLLARS HAVE BEEN USED FOR THIS CRISIS THIS STUPID STUPID CHINA JOE CAUSED BEFORE WE COMPLY,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
TNT are friggen idiots!,1,Republican ADMITS What Is Behind Killing Border Deal
Yeah! Id have had a string of select worda for that representative. Along with Witch! How about you try,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
Why is this guy still on this show? Beat it !,0,Republican ADMITS What Is Behind Killing Border Deal
I Go With Governor Abbot😢,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"U sir are as dumb as a rock, it's because of people like you we're in this border delima SHHHHH!",1,Republican ADMITS What Is Behind Killing Border Deal
"And day, Biden got in office, he welcomed all the illegals encourage them to come. He did not ask them to come lawfully. He’s not voting who’s coming in.",0,Republican ADMITS What Is Behind Killing Border Deal
You are an idiot. You know zero about Continuity of Government. We are at war and President Trump did not start it. China Joe did.,1,Republican ADMITS What Is Behind Killing Border Deal
This guy mustve been doing some of that cocaine in the whitehouse with xiden,0,Republican ADMITS What Is Behind Killing Border Deal
So full of shit you are,1,Republican ADMITS What Is Behind Killing Border Deal
How in the fuck is TYT a news station 😂 propaganda machine,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut
"After I seen Biden, have that temper tantrum the other day, it worries me that he could do something very stupid very easily",0,Republican ADMITS What Is Behind Killing Border Deal
Joe Biden sucks. America deserved better.,1,Republican ADMITS What Is Behind Killing Border Deal
